timestamp,economy,jobs,Income tax,nuclear warfare,missiles,energy,Terrorism ,Tropical cyclone,unemployment,military,Substance Abuse,immigration,gun violence,gun control,wages,security,trade,education,Murder,police,women's rights,War in Afghanistan,Health Care,Petroleum,Global warming
us 2016-01-12T02:00:00Z,1561.083913,39851.00321,867.26884,0,216.81721,3946.073224,607.088188,520.361304,3122.167825,3772.619455,260.180652,2211.535543,43.363442,693.815072,997.359166,2558.443079,4076.16355,5897.428114,9930.228222,5160.2496,130.090326,0,1907.991449,2124.808659,433.63442
us 2016-01-12T02:01:00Z,1273.728326,38376.20182,657.408168,41.088011,205.440053,4684.033199,657.408168,534.144137,3163.77681,4478.593147,164.352042,1520.256389,0,451.968116,986.112252,1848.960473,3697.920947,5957.761525,9162.626346,5341.441367,246.528063,0,2465.280631,2218.752568,451.968116
us 2016-01-12T02:02:00Z,1018.002354,40312.8932,936.562165,0,244.320565,3705.528567,773.681789,244.320565,2728.246308,4275.609885,244.320565,2158.16499,162.880377,773.681789,1018.002354,1913.844425,4031.28932,6148.734216,9121.301088,5415.772521,285.040659,81.440188,1710.243954,2972.566873,285.040659
us 2016-01-12T02:03:00Z,1308.03378,41407.44435,1062.777446,40.876056,286.132389,4251.109785,981.025335,572.264779,2656.943616,4291.985841,327.008445,2248.183059,81.752111,694.892946,899.273224,1553.290114,4496.366119,6376.664677,9319.740682,5722.647787,163.504222,0,2084.678837,2002.926726,408.760556
us 2016-01-12T02:04:00Z,1095.207205,37995.26534,800.343727,42.123354,168.493416,3159.251552,716.097019,463.356894,2569.524596,4507.198881,210.61677,1727.057515,84.246708,842.467081,926.713789,1811.304223,4128.088695,6444.873167,9562.001365,5265.419254,252.740124,126.370062,2780.141366,2527.401242,42.123354
us 2016-01-12T02:05:00Z,1486.830926,41971.113,892.098556,0,254.885302,4078.164826,764.655905,552.251487,2973.661852,4163.126593,339.847069,2081.563297,212.404418,637.213254,1146.983857,1996.601529,3483.432455,6881.903144,8411.214953,5140.186916,297.366185,84.961767,2124.04418,2293.967715,297.366185
us 2016-01-12T02:06:00Z,1257.436218,40151.23923,953.917131,0,130.079609,4292.627088,823.837522,390.238826,3035.19087,4075.82774,303.519087,1777.754653,130.079609,476.958565,1214.076348,1777.754653,3728.948783,5983.662001,9582.531176,5550.063305,130.079609,86.719739,2514.872435,2384.792827,303.519087
us 2016-01-12T02:07:00Z,1367.92473,38686.62127,1068.691195,85.495296,128.242943,3590.802416,1025.943547,384.72883,2735.84946,4146.521838,299.233535,2051.887095,128.242943,427.476478,940.448252,2436.615925,4103.77419,6497.642467,9660.968405,6668.633058,170.990591,0,2222.877686,2522.111221,213.738239
us 2016-01-12T02:08:00Z,985.643883,40539.96143,942.789801,0,342.832655,3771.159203,685.66531,471.3949,2442.682666,4842.511249,299.978573,1799.871438,128.562246,471.3949,1114.206128,2399.828584,4199.700021,5828.155132,8742.232698,5913.863295,214.270409,0,2142.704093,2914.077566,214.270409
us 2016-01-12T02:09:00Z,1169.200656,40402.37824,1039.289472,0,259.822368,4070.550434,476.341008,476.341008,3117.868417,4936.624994,173.214912,2035.275217,86.607456,692.859648,1169.200656,2771.438593,4503.587714,6322.344291,11215.66556,5456.26973,86.607456,86.607456,2381.705041,2121.882673,216.51864
us 2016-01-12T02:10:00Z,1112.537441,42319.21267,770.218228,42.789902,299.529311,4407.359863,727.428327,427.899016,2524.604193,4621.309371,171.159606,2310.654685,128.369705,513.478819,1026.957638,2053.915276,3765.511339,7231.493368,10483.52589,6033.376123,128.369705,42.789902,2353.444587,2225.074882,342.319213
us 2016-01-12T02:11:00Z,1431.869066,42001.49262,954.579378,86.779943,260.33983,3731.537567,911.189406,433.899717,3037.29802,4382.387143,130.169915,1735.598868,43.389972,650.849576,867.799434,2299.668501,4078.657341,6508.495756,9589.183748,5684.086294,86.779943,43.389972,2256.278529,2082.718642,260.33983
us 2016-01-12T02:12:00Z,1538.349778,41706.37176,854.638766,85.463877,341.855506,3717.67863,470.051321,470.051321,3461.287001,3418.555062,384.587445,2392.988544,128.195815,726.442951,1452.885901,1922.937223,4315.925766,5170.564532,9272.830606,5726.079729,0,42.731938,2692.112112,2478.45242,170.927753
us 2016-01-12T02:13:00Z,1196.693706,42910.01718,897.52028,0,170.956244,3974.732667,512.868731,641.085914,2991.734266,4487.601398,256.434366,2051.474925,85.478122,641.085914,982.998402,2222.431169,4829.513886,6539.076323,9103.41998,5214.165434,128.217183,42.739061,2948.995205,2521.604595,470.12967
us 2016-01-12T02:14:00Z,1755.647332,40087.28075,710.619158,0,376.210143,3845.70368,1045.028174,292.607889,2675.272125,4598.123965,209.005635,2048.255221,167.204508,501.613524,1003.227047,2173.658602,4472.720585,6604.578059,9781.463708,5434.146505,209.005635,125.403381,2090.056348,2549.868744,334.409016
us 2016-01-12T02:15:00Z,1078.714173,39552.853,998.809419,0,199.761884,3076.333011,759.095159,279.666637,2477.04736,4514.618575,79.904754,2237.333099,39.952377,559.333275,958.857042,1638.047447,3875.380546,6512.237413,9908.189438,5153.856603,119.85713,0,1997.618838,3116.285388,519.380898
us 2016-01-12T02:16:00Z,1002.924528,40076.86414,722.10566,80.233962,320.935849,3570.411319,521.520755,361.05283,2888.42264,4613.452828,160.467924,1845.381131,80.233962,401.169811,882.573585,2447.135848,4212.283017,5937.313205,10550.76603,5616.377356,200.584906,80.233962,1965.732075,2727.954716,240.701887
us 2016-01-12T02:17:00Z,1374.287089,41592.39453,1050.925421,40.420208,282.941459,3597.398555,970.085004,606.303127,2586.893343,3799.499598,80.840417,1414.707297,0,687.143544,929.664795,2182.691258,4001.60064,6063.031273,10185.89254,5335.46752,242.521251,0,2344.372092,2546.473135,565.882919
us 2016-01-12T02:18:00Z,1090.439363,40597.89629,922.679461,41.939976,167.759902,4110.1176,796.859535,671.039608,2390.578604,3900.417722,209.699878,1971.178849,83.879951,1048.499388,1090.439363,2390.578604,3313.258065,5158.616987,11239.91344,5284.436914,251.639853,41.939976,2684.158432,2809.978359,209.699878
us 2016-01-12T02:19:00Z,1551.870213,41439.12894,1090.503393,0,209.712191,3523.164809,335.539506,461.36682,3019.85555,4865.322831,251.654629,1719.639966,83.884876,587.194135,796.906326,1593.812652,4320.071134,5452.516966,8682.084707,5494.459404,419.424382,0,2013.237033,2558.48873,293.597067
us 2016-01-12T02:20:00Z,1631.062294,39274.26313,686.763071,42.922692,515.072303,3863.042275,472.149611,429.226919,3219.201895,4249.346502,343.381536,2103.211905,85.845384,815.531147,1030.144607,2489.516132,4077.655734,6781.785326,9185.456075,5494.104568,257.536152,128.768076,1845.675753,1974.443829,386.304227
us 2016-01-12T02:21:00Z,1175.951786,41452.30046,1259.948342,83.996556,209.99139,3695.84847,419.982781,503.979337,2771.886353,3905.839861,167.993112,2057.915625,167.993112,419.982781,1301.94662,1931.920791,4031.834695,7181.70555,8609.647004,5375.779593,83.996556,83.996556,1637.932845,2645.891518,335.986225
us 2016-01-12T02:22:00Z,1465.26894,40525.15239,1046.620671,0,251.188961,3977.15855,627.972403,586.107576,3432.915801,4270.212338,167.459307,1548.998593,83.729654,460.513095,1046.620671,2846.808226,3851.56407,5819.210932,8666.019157,4646.99578,167.459307,41.864827,2176.970996,2721.213745,586.107576
us 2016-01-12T02:23:00Z,1281.327455,41603.10081,800.82966,40.041483,200.207415,3723.857917,560.580762,800.82966,2642.737876,4284.438678,600.622245,2122.198598,200.207415,520.539279,1161.203006,1881.9497,4004.148298,5886.097998,10170.53668,5846.056515,160.165932,40.041483,1441.493387,2162.240081,80.082966
us 2016-01-12T02:24:00Z,1324.486334,39221.88564,1025.408775,85.450731,170.901462,3588.930712,555.429753,427.253656,3204.402422,4528.888756,170.901462,1580.838528,128.176097,598.155119,1324.486334,1965.366819,3973.459003,5725.198993,9015.052146,5212.494606,341.802925,42.725366,2478.071206,2606.247303,683.60585
