timestamp,value
us-az 2018-01-31T02:26:00Z,17.1
us-az 2018-01-31T02:27:00Z,18.19
us-az 2018-01-31T02:28:00Z,19.89
us-az 2018-01-31T02:29:00Z,15.99
us-az 2018-01-31T02:30:00Z,18.46
us-az 2018-01-31T02:31:00Z,13.19
us-az 2018-01-31T02:32:00Z,17.06
us-az 2018-01-31T02:33:00Z,15.96
us-az 2018-01-31T02:34:00Z,19.57
us-az 2018-01-31T02:35:00Z,18.63
us-az 2018-01-31T02:36:00Z,17.69
us-az 2018-01-31T02:37:00Z,20.96
us-az 2018-01-31T02:38:00Z,15.34
us-az 2018-01-31T02:39:00Z,20.51
us-az 2018-01-31T02:40:00Z,16.68
us-az 2018-01-31T02:41:00Z,17.4
us-az 2018-01-31T02:42:00Z,13.43
us-az 2018-01-31T02:43:00Z,18.68
us-az 2018-01-31T02:44:00Z,18.26
us-az 2018-01-31T02:45:00Z,19.07
us-az 2018-01-31T02:46:00Z,20.62
us-az 2018-01-31T02:47:00Z,22.87
us-az 2018-01-31T02:48:00Z,19.67
us-az 2018-01-31T02:49:00Z,15.33
us-az 2018-01-31T02:50:00Z,15.03
us-az 2018-01-31T02:51:00Z,14.41
us-az 2018-01-31T02:52:00Z,16.86
us-az 2018-01-31T02:53:00Z,16.48
us-az 2018-01-31T02:54:00Z,14.41
us-az 2018-01-31T02:55:00Z,14.12
us-az 2018-01-31T02:56:00Z,16.57
us-az 2018-01-31T02:57:00Z,24.08
us-az 2018-01-31T02:58:00Z,28.31
us-az 2018-01-31T02:59:00Z,31.44
us-az 2018-01-31T03:00:00Z,23.24
us-az 2018-01-31T03:01:00Z,14.07
us-az 2018-01-31T03:02:00Z,19.24
us-az 2018-01-31T03:03:00Z,16.69
us-az 2018-01-31T03:04:00Z,19.18
us-az 2018-01-31T03:05:00Z,17.96
us-az 2018-01-31T03:06:00Z,16.78
us-az 2018-01-31T03:07:00Z,19.12
us-az 2018-01-31T03:08:00Z,19.21
us-az 2018-01-31T03:09:00Z,17
us-az 2018-01-31T03:10:00Z,22.71
us-az 2018-01-31T03:11:00Z,18.03
us-az 2018-01-31T03:12:00Z,16.16
us-az 2018-01-31T03:13:00Z,16.76
us-az 2018-01-31T03:14:00Z,16.91
us-az 2018-01-31T03:15:00Z,20.16
us-az 2018-01-31T03:16:00Z,19.71
us-az 2018-01-31T03:17:00Z,17.46
us-az 2018-01-31T03:18:00Z,19.82
us-az 2018-01-31T03:19:00Z,16.27
us-az 2018-01-31T03:20:00Z,16.04
us-az 2018-01-31T03:21:00Z,12.46
us-az 2018-01-31T03:22:00Z,13.1
us-az 2018-01-31T03:23:00Z,14.94
us-az 2018-01-31T03:24:00Z,12.56
us-az 2018-01-31T03:25:00Z,14.05
us-az 2018-01-31T03:26:00Z,19.38
us-az 2018-01-31T03:27:00Z,16.71
us-az 2018-01-31T03:28:00Z,20.94
us-az 2018-01-31T03:29:00Z,21.14
us-az 2018-01-31T03:30:00Z,20
us-ar 2018-01-31T02:10:00Z,22.69
us-ar 2018-01-31T02:11:00Z,16.17
us-ar 2018-01-31T02:12:00Z,17.82
us-ar 2018-01-31T02:13:00Z,18.63
us-ar 2018-01-31T02:14:00Z,18.7
us-ar 2018-01-31T02:15:00Z,9.24
us-ar 2018-01-31T02:16:00Z,17.61
us-ar 2018-01-31T02:17:00Z,15.19
us-ar 2018-01-31T02:18:00Z,11.41
us-ar 2018-01-31T02:19:00Z,16.2
us-ar 2018-01-31T02:20:00Z,21.72
us-ar 2018-01-31T02:21:00Z,14.73
us-ar 2018-01-31T02:22:00Z,20.75
us-ar 2018-01-31T02:23:00Z,15.26
us-ar 2018-01-31T02:24:00Z,17.8
us-ar 2018-01-31T02:25:00Z,12.59
us-ar 2018-01-31T02:26:00Z,11.75
us-ar 2018-01-31T02:27:00Z,16.58
us-ar 2018-01-31T02:28:00Z,16.29
us-ar 2018-01-31T02:29:00Z,14.71
us-ar 2018-01-31T02:30:00Z,13.46
us-ar 2018-01-31T02:31:00Z,15.39
us-ar 2018-01-31T02:32:00Z,15.42
us-ar 2018-01-31T02:33:00Z,18.75
us-ar 2018-01-31T02:34:00Z,13.68
us-ar 2018-01-31T02:35:00Z,13.55
us-ar 2018-01-31T02:36:00Z,21.71
us-ar 2018-01-31T02:37:00Z,11.16
us-ar 2018-01-31T02:38:00Z,22.56
us-ar 2018-01-31T02:39:00Z,14.08
us-ar 2018-01-31T02:40:00Z,10.32
us-ar 2018-01-31T02:41:00Z,15.03
us-ar 2018-01-31T02:42:00Z,15.61
us-ar 2018-01-31T02:43:00Z,18.96
us-ar 2018-01-31T02:44:00Z,8.52
us-ar 2018-01-31T02:45:00Z,14.16
us-ar 2018-01-31T02:46:00Z,8.78
us-ar 2018-01-31T02:47:00Z,18.23
us-ar 2018-01-31T02:48:00Z,15.77
us-ar 2018-01-31T02:49:00Z,12.75
us-ar 2018-01-31T02:50:00Z,13.37
us-ar 2018-01-31T02:51:00Z,17.51
us-ar 2018-01-31T02:52:00Z,13.81
us-ar 2018-01-31T02:53:00Z,15.98
us-ar 2018-01-31T02:54:00Z,13.28
us-ar 2018-01-31T02:55:00Z,11.82
us-ar 2018-01-31T02:56:00Z,14.81
us-ar 2018-01-31T02:57:00Z,21.78
us-ar 2018-01-31T02:58:00Z,30.54
us-ar 2018-01-31T02:59:00Z,34.24
us-ar 2018-01-31T03:00:00Z,24.7
us-ar 2018-01-31T03:01:00Z,12.06
us-ar 2018-01-31T03:02:00Z,12.87
us-ar 2018-01-31T03:03:00Z,14.06
us-ar 2018-01-31T03:04:00Z,17.63
us-ar 2018-01-31T03:05:00Z,18.15
us-ar 2018-01-31T03:06:00Z,9.85
us-ar 2018-01-31T03:07:00Z,14.13
us-ar 2018-01-31T03:08:00Z,16.69
us-ar 2018-01-31T03:09:00Z,10.84
us-ar 2018-01-31T03:10:00Z,8.89
us-ar 2018-01-31T03:11:00Z,15.74
us-ar 2018-01-31T03:12:00Z,10.92
us-ar 2018-01-31T03:13:00Z,11.88
us-ar 2018-01-31T03:14:00Z,13.63
us-ar 2018-01-31T03:15:00Z,11.53
us-ar 2018-01-31T03:16:00Z,17.67
us-ar 2018-01-31T03:17:00Z,16.84
us-ar 2018-01-31T03:18:00Z,9.41
us-ar 2018-01-31T03:19:00Z,14.09
us-ar 2018-01-31T03:20:00Z,16.51
us-ar 2018-01-31T03:21:00Z,8.81
us-ar 2018-01-31T03:22:00Z,10.65
us-ar 2018-01-31T03:23:00Z,10.36
us-ar 2018-01-31T03:24:00Z,15.04
us-ar 2018-01-31T03:25:00Z,11.5
us-ar 2018-01-31T03:26:00Z,10.49
us-ar 2018-01-31T03:27:00Z,14.54
us-ar 2018-01-31T03:28:00Z,17.7
us-ar 2018-01-31T03:29:00Z,14.25
us-ar 2018-01-31T03:30:00Z,17.21
us-ca 2018-01-31T02:10:00Z,26.83
us-ca 2018-01-31T02:11:00Z,26.28
us-ca 2018-01-31T02:12:00Z,24.82
us-ca 2018-01-31T02:13:00Z,25.02
us-ca 2018-01-31T02:14:00Z,23.46
us-ca 2018-01-31T02:15:00Z,21.58
us-ca 2018-01-31T02:16:00Z,24.85
us-ca 2018-01-31T02:17:00Z,21
us-ca 2018-01-31T02:18:00Z,22.31
us-ca 2018-01-31T02:19:00Z,23.82
us-ca 2018-01-31T02:20:00Z,24.7
us-ca 2018-01-31T02:21:00Z,23.32
us-ca 2018-01-31T02:22:00Z,20.53
us-ca 2018-01-31T02:23:00Z,18.94
us-ca 2018-01-31T02:24:00Z,21.98
